,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Change,Gain,Loss,bol_middle_band,bol_upper_band,bol_lower_band,rsi,ema10,momemntum,rate of change,ema14
68,68,68,68,68,68,2017-06-23,76.48999786376953,77.39800262451172,75.87000274658203,76.69000244140625,32229000,0,0.0,0.167999267578125,0.167999267578125,0.0,72.15470008850097,79.07288882834375,65.2365113486582,71.7101200520973,73.6318116885003,4.88800048828125,7569.000244140625,73.6318116885003
69,69,69,69,69,69,2017-06-26,77.33799743652344,77.38999938964844,74.62000274658203,75.49800109863281,33020500,0,0.0,-1.1920013427734375,0.0,1.1920013427734375,72.67820014953614,78.90266453385107,66.45373576522121,64.72978119334573,73.88063694318464,0.3079986572265625,7449.800109863281,73.88063694318464
70,70,70,70,70,70,2017-06-27,75.27999877929688,75.27999877929688,72.40399932861328,72.4739990234375,34982000,0,0.0,-3.0240020751953125,0.0,3.0240020751953125,72.95090026855469,78.60585561590568,67.2959449212037,51.478898683731856,73.6930852205517,-3.6580047607421875,7147.39990234375,73.6930852205517
71,71,71,71,71,71,2017-06-28,73.33599853515625,74.3479995727539,72.50399780273438,74.24800109863281,31512500,0,0.0,1.7740020751953125,1.7740020751953125,0.0,73.25320014953613,78.48668598939658,68.01971430967568,50.685236449368055,73.76707400429585,-0.8199996948242188,7324.800109863281,73.76707400429585
72,72,72,72,72,72,2017-06-29,74.12200164794922,74.19999694824219,70.81999969482422,72.1500015258789,41105000,0,0.0,-2.0979995727539062,0.0,2.0979995727539062,73.45700035095214,78.15209699908594,68.76190370281834,51.942473272521774,73.55146434050693,-2.1299972534179688,7115.000152587891,73.55146434050693
73,73,73,73,73,73,2017-06-30,72.74199676513672,73.35399627685547,71.92400360107422,72.3219985961914,29242500,0,0.0,0.1719970703125,0.1719970703125,0.0,73.67460021972656,77.67779593326613,69.67140450618699,51.486383162654896,73.38753557459819,-1.63800048828125,7132.199859619141,73.38753557459819
74,74,74,74,74,74,2017-07-03,74.0479965209961,74.2699966430664,70.30000305175781,70.52400207519531,31527000,0,0.0,-1.7979965209960938,0.0,1.7979965209960938,73.72760047912598,77.52714652885761,69.92805442939435,35.32889572942196,73.00573110801113,-3.9239959716796875,6952.400207519531,73.00573110801113
75,75,75,75,75,75,2017-07-05,69.44000244140625,69.447998046875,65.26599884033203,65.41799926757812,85233500,0,0.0,-5.1060028076171875,0.0,5.1060028076171875,73.47000045776367,78.58012484226606,68.35987607326129,23.30310118429317,71.99403352928674,-9.86199951171875,6441.7999267578125,71.99403352928674
76,76,76,76,76,76,2017-07-06,63.45199966430664,64.15799713134766,61.2599983215332,61.76599884033203,96622500,0,0.0,-3.6520004272460938,0.0,3.6520004272460938,72.96180038452148,80.19271545829979,65.73088531074318,20.640951117870642,70.63029557075944,-14.756004333496094,6076.599884033203,70.63029557075944
77,77,77,77,77,77,2017-07-07,62.70000076293945,63.400001525878906,61.47600173950195,62.64400100708008,70884500,0,0.0,0.8780021667480469,0.8780021667480469,0.0,72.3940004348755,80.89629295043008,63.89170791932091,24.419640049277064,69.56545629560219,-14.046001434326172,6164.400100708008,69.56545629560219
78,78,78,78,78,78,2017-07-10,62.58000183105469,63.5880012512207,60.6259994506836,63.209999084472656,69104500,0,0.0,0.5659980773925781,0.5659980773925781,0.0,71.98130054473877,81.38763932156182,62.574961767915724,26.620275268754398,68.71806200078493,-12.288002014160156,6220.999908447266,68.71806200078493
79,79,79,79,79,79,2017-07-11,63.20000076293945,65.45600128173828,62.86000061035156,65.44400024414062,57797000,0,0.0,2.2340011596679688,2.2340011596679688,0.0,71.66340045928955,81.49726394197704,61.82953697660205,31.799816050716217,68.28152043323236,-7.029998779296875,6444.4000244140625,68.28152043323236
